,id,HeadPitch,HeadYaw,HipPitch,HipRoll,KneePitch,LElbowRoll,LElbowYaw,LHand,LShoulderPitch,LShoulderRoll,LWristYaw,RElbowRoll,RElbowYaw,RHand,RShoulderPitch,RShoulderRoll,RWristYaw,R0R,R0G,R0B,L0R,L0G,L0B,R1R,R1G,R1B,L1R,L1G,L1B,R2R,R2G,R2B,L2R,L2G,L2B,R3R,R3G,R3B,L3R,L3G,L3B,R4R,R4G,R4B,L4R,L4G,L4B,R5R,R5G,R5B,L5R,L5G,L5B,R6R,R6G,R6B,L6R,L6G,L6B,R7R,R7G,R7B,L7R,L7G,L7B
1261,Happy_01,-0.26384473,0.009203911,-0.1672039,0.055223227,0.07056308,-0.9280584,-1.1090682,0.035149336,1.3161556,0.25464082,-0.08441186,1.0676506,1.7502722,0.17398942,1.7686799,-0.24697089,0.007627964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1262,Happy_01,-0.23316503,0.015339851,-0.1672039,0.055223227,0.07056308,-0.9265244,-1.1090682,0.042179227,1.3161556,0.25464082,-0.08441186,1.0599806,1.7502722,0.17662561,1.7686799,-0.24697089,0.007627964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1263,Happy_01,-0.16566992,0.021475792,-0.1672039,0.055223227,0.06902909,-0.9081166,-1.1167381,0.0676626,1.3192235,0.25464082,-0.08441186,1.0339029,1.7410682,0.1880492,1.7686799,-0.24697089,0.007627964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1264,Happy_01,-0.10431075,0.021475792,-0.1672039,0.055223227,0.07056308,-0.88510704,-1.1351459,0.10544813,1.3299614,0.25464082,-0.08441186,0.9986217,1.7226604,0.20123029,1.7625439,-0.24697089,0.007627964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1265,Happy_01,-0.11811662,0.026077747,-0.18100977,0.055223227,0.06902909,-0.8590293,-1.1550877,0.13796139,1.3468351,0.25310683,-0.08441186,0.96180606,1.7027187,0.21441126,1.7472041,-0.24697089,0.007627964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1266,Happy_01,-0.12271857,0.023009777,-0.17947578,0.055223227,0.06749511,-0.84368944,-1.1688936,0.15992975,1.359107,0.25310683,-0.08441186,0.9357283,1.6858449,0.22231984,1.7333982,-0.24697089,0.007627964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1267,Happy_01,-0.16413593,0.026077747,-0.17487383,0.055223227,0.061359167,-0.80994177,-1.2133787,0.21177506,1.3851846,0.25464082,-0.08441186,0.88050485,1.6444274,0.24604571,1.7011845,-0.24697089,0.007627964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1268,Happy_01,-0.19941759,0.026077747,-0.17487383,0.052155256,0.058291197,-0.77466035,-1.2578642,0.2557118,1.4173983,0.25464082,-0.08441186,0.8283496,1.598408,0.26801407,1.6689713,-0.24697089,0.007627964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1269,Happy_01,-0.2086215,0.026077747,-0.17640781,0.0475533,0.058291197,-0.7501166,-1.283942,0.28471005,1.43734,0.25464082,-0.08441186,0.7976701,1.5707964,0.27592266,1.6490295,-0.24697089,0.007627964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1270,Happy_01,-0.20555353,0.026077747,-0.17640781,0.039883614,0.059825182,-0.71636915,-1.3330295,0.3216169,1.4710876,0.25464082,-0.08441186,0.7501166,1.521709,0.28031635,1.6152818,-0.24697089,0.010695934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
